mep mep 0.1  err 23.72236876
mep 0.1338757254  err 17.00138619
mep 0.2195676985  err 7.317540358
mep 0.2843203181  err 3.869951596
mep 0.3570057386  err 1.893008158
mep 0.4266051103  err 0.9545191892
mep 0.4973932266  err 0.4757049
mep 0.5677215016  err 0.2381523304
mep 0.6382270418  err 0.1190183029
mep 0.7086635024  err 0.05952042135
mep 0.7791254628  err 0.02975813079
mep 0.8495752076  err 0.01487956348
mep 0.9200249342  err 0.007439782502
mep 0.990465206  err 0.003719987938
mep 1.060890203  err 0.001860071879
mep 1.131283235  err 0.0009301183169
mep 1.201613044  err 0.0004651401489
mep 1.271816098  err 0.0002326526098
mep 1.341767034  err 0.0001164089722
mep 1.4112157  err 5.828999227e-05
mep 1.479673776  err 2.923398412e-05
mep 1.546195103  err 1.471386325e-05
mep 1.609022705  err 7.469480747e-06
mep 1.665129898  err 3.877188992e-06
mep 1.710068063  err 2.134539305e-06
mep 1.739324725  err 1.350668247e-06
mep 1.752412825  err 1.066732456e-06
mep 1.755488876  err 1.005119036e-06
mep 1.755744444  err 1.000117625e-06
mep 1.755750455  err 1.000000528e-06
1.755750482
